Area Code (M49),Area,Item,Element,Unit,Year,value,Sub-region Name,Food loss percentage,Efficiency Group,Efficiency_Ratio
052,Barbados,Pesticides (total),Use per area of cropland,kg/ha,2016,11.16,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.12710706150341686
052,Barbados,Pesticides (total),Use per capita,kg/cap,2016,0.32,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.0036446469248291574
052,Barbados,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.63,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.01856492027334852
052,Barbados,Insecticides,Agricultural Use,t,2016,15.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.17084282460136674
052,Barbados,Herbicides,Agricultural Use,t,2016,70.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",0.7972665148063781
052,Barbados,Fungicides and Bactericides,Agricultural Use,t,2016,4.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.04555808656036447
084,Belize,Pesticides (total),Agricultural Use,t,2016,1259.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",14.339407744874716
084,Belize,Pesticides (total),Use per area of cropland,kg/ha,2016,10.49,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.11947608200455581
084,Belize,Pesticides (total),Use per capita,kg/cap,2016,3.45,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.03929384965831435
084,Belize,Pesticides (total),Use per value of agricultural production,g/Int$,2016,5.28,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.0601366742596811
084,Belize,Insecticides,Agricultural Use,t,2016,51.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.5808656036446469
084,Belize,Insecticides – Organo-phosphates,Agricultural Use,t,2016,40.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.45558086560364464
084,Belize,Insecticides – Carbamates,Agricultural Use,t,2016,2.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.022779043280182234
084,Belize,Insecticides – Pyrethroids,Agricultural Use,t,2016,3.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.03416856492027335
084,Belize,Insecticides - nes,Agricultural Use,t,2016,6.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.0683371298405467
084,Belize,Herbicides,Agricultural Use,t,2016,448.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",5.10250569476082
084,Belize,Herbicides – Phenoxy hormone products,Agricultural Use,t,2016,121.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",1.3781321184510251
084,Belize,Herbicides – Triazines,Agricultural Use,t,2016,47.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.5353075170842825
084,Belize,Herbicides – Amides,Agricultural Use,t,2016,2.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.022779043280182234
084,Belize,Herbicides – Dinitroanilines,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.011389521640091117
084,Belize,Herbicides – Urea derivates,Agricultural Use,t,2016,29.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.33029612756264237
084,Belize,Herbicides – Sulfonyl ureas,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.011389521640091117
084,Belize,Herbicides – Bipiridils,Agricultural Use,t,2016,35.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.39863325740318906
084,Belize,Herbicides - nes,Agricultural Use,t,2016,212.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",2.414578587699317
084,Belize,Fungicides and Bactericides,Agricultural Use,t,2016,263.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",2.995444191343964
084,Belize,Fung & Bact – Dithiocarbamates,Agricultural Use,t,2016,87.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",0.9908883826879271
084,Belize,"Fung & Bact – Triazoles, diazoles",Agricultural Use,t,2016,3.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.03416856492027335
084,Belize,"Fung & Bact – Diazines, morpholines",Agricultural Use,t,2016,2.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.022779043280182234
084,Belize,Fung & Bact - nes,Agricultural Use,t,2016,170.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",1.9362186788154898
084,Belize,Plant Growth Regulators,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.011389521640091117
084,Belize,Other Pesticides nes,Agricultural Use,t,2016,498.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",5.671981776765376
060,Bermuda,Pesticides (total),Agricultural Use,t,2016,179.0,northern america,13.3,"Over-spenders (High pesticide, High loss)",2.0645905420991926
060,Bermuda,Pesticides (total),Use per capita,kg/cap,2016,2.82,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.032525951557093424
060,Bermuda,Insecticides,Agricultural Use,t,2016,48.0,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.5536332179930795
060,Bermuda,Herbicides,Agricultural Use,t,2016,24.0,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.27681660899653976
060,Bermuda,Fungicides and Bactericides,Agricultural Use,t,2016,27.0,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.31141868512110726
060,Bermuda,Plant Growth Regulators,Agricultural Use,t,2016,3.0,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.03460207612456747
060,Bermuda,Rodenticides,Agricultural Use,t,2016,47.0,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.5420991926182237
060,Bermuda,Other Pesticides nes,Agricultural Use,t,2016,31.0,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.35755478662053053
068,Bolivia (Plurinational State of),Pesticides (total),Agricultural Use,t,2016,16392.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",186.69703872437358
068,Bolivia (Plurinational State of),Pesticides (total),Use per area of cropland,kg/ha,2016,3.22,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.0366742596810934
068,Bolivia (Plurinational State of),Pesticides (total),Use per capita,kg/cap,2016,1.47,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.01674259681093394
068,Bolivia (Plurinational State of),Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.54,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.028929384965831438
068,Bolivia (Plurinational State of),Insecticides,Agricultural Use,t,2016,3554.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",40.47835990888383
068,Bolivia (Plurinational State of),Herbicides,Agricultural Use,t,2016,9186.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",104.62414578587699
068,Bolivia (Plurinational State of),Fungicides and Bactericides,Agricultural Use,t,2016,3446.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",39.24829157175399
068,Bolivia (Plurinational State of),Rodenticides,Agricultural Use,t,2016,120.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",1.366742596810934
068,Bolivia (Plurinational State of),Other Pesticides nes,Agricultural Use,t,2016,87.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",0.9908883826879271
076,Brazil,Pesticides (total),Agricultural Use,t,2016,514829.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",5863.656036446469
076,Brazil,Pesticides (total),Use per area of cropland,kg/ha,2016,8.14,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.0927107061503417
076,Brazil,Pesticides (total),Use per capita,kg/cap,2016,2.53,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.028815489749430524
076,Brazil,Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.32,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.02642369020501139
076,Brazil,Insecticides,Agricultural Use,t,2016,87459.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",996.116173120729
076,Brazil,Herbicides,Agricultural Use,t,2016,322755.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",3676.0250569476084
076,Brazil,Fungicides and Bactericides,Agricultural Use,t,2016,92000.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",1047.8359908883826
076,Brazil,Plant Growth Regulators,Agricultural Use,t,2016,2163.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",24.635535307517085
076,Brazil,Other Pesticides nes,Agricultural Use,t,2016,10451.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",119.03189066059225
092,British Virgin Islands,Pesticides (total),Agricultural Use,t,2016,18.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.2050113895216401
092,British Virgin Islands,Pesticides (total),Use per area of cropland,kg/ha,2016,8.79,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.1001138952164009
092,British Virgin Islands,Pesticides (total),Use per capita,kg/cap,2016,0.52,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.005922551252847381
092,British Virgin Islands,Insecticides,Agricultural Use,t,2016,2.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.022779043280182234
092,British Virgin Islands,Herbicides,Agricultural Use,t,2016,11.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.1252847380410023
092,British Virgin Islands,Fungicides and Bactericides,Agricultural Use,t,2016,3.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.03416856492027335
092,British Virgin Islands,Other Pesticides nes,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.011389521640091117
124,Canada,Pesticides (total),Agricultural Use,t,2016,90926.0,northern america,13.3,"Over-spenders (High pesticide, High loss)",1048.7427912341407
124,Canada,Pesticides (total),Use per area of cropland,kg/ha,2016,2.35,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.02710495963091119
124,Canada,Pesticides (total),Use per capita,kg/cap,2016,2.5,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.02883506343713956
124,Canada,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.86,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.021453287197231833
124,Canada,Insecticides,Agricultural Use,t,2016,5089.0,northern america,13.3,"Over-spenders (High pesticide, High loss)",58.69665513264129
124,Canada,Herbicides,Agricultural Use,t,2016,65444.0,northern america,13.3,"Over-spenders (High pesticide, High loss)",754.8327566320646
124,Canada,Fungicides and Bactericides,Agricultural Use,t,2016,9083.0,northern america,13.3,"Over-spenders (High pesticide, High loss)",104.76355247981546
124,Canada,Rodenticides,Agricultural Use,t,2016,37.0,northern america,13.3,"Vulnerable (Low pesticide, High loss)",0.4267589388696655
124,Canada,Other Pesticides nes,Agricultural Use,t,2016,11273.0,northern america,13.3,"Over-spenders (High pesticide, High loss)",130.0230680507497
136,Cayman Islands,Pesticides (total),Agricultural Use,t,2016,569.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",6.480637813211845
136,Cayman Islands,Insecticides,Agricultural Use,t,2016,82.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",0.9339407744874716
